City,Density,Population,Latitude,Longitude
Alipur Duar,831948142.936279,127342,26.483700,89.566700
Sirsa,831914830.834257,181639,29.490400,75.030000
Firozabad,831832305.868813,306409,27.150000,78.394900
Xiangfan,831805991.048756,1069000,32.020000,112.130000
Yichang,831680472.872107,875000,30.700000,111.280000
Itanagar,831676681.935231,44971,27.100400,93.616600
Agra,831580627.812629,1592000,27.170400,78.015000
Sopore,831578037.598543,63035,34.300000,74.466700
Nanyang,831572773.889556,1944000,33.000400,112.530000
Baramula,831559430.222040,167986,34.200400,74.350000
Houma,831477980.846826,102400,35.620000,111.210000
Muzaffarpur,831477305.018296,333200,26.120400,85.379900
Abohar,831419236.222669,130603,30.120400,74.290000
Etawah,831315988.867005,257448,26.785500,79.015000
Bharatpur,831273959.157407,229384,27.250400,77.500000
Kanpur,831218546.852562,3162000,26.460000,80.320000
Luoyang,831041363.922044,1715000,34.680000,112.470100
Tezpur,831018299.988223,58851,26.633800,92.800000
Alwar,830900700.283712,283228,27.545400,76.604900
Jingmen,830749804.318301,400000,31.030400,112.100000
Purnia,830737279.209692,198453,25.785400,87.480000
Jorhat,830675750.482678,69033,26.750000,94.216700
Zhaotang,830646449.767802,809000,27.320400,103.720000
Okara,830640540.694467,223648,30.810400,73.450000
Zicheng,830612944.226824,237042,30.300400,111.500000
Saidpur,830605100.419572,232209,25.800400,89.000000
Islamabad,830547231.153600,780000,33.700000,73.166600
Faisalabad,830496802.235685,2617000,31.410000,73.110000
Guwahati,830438001.777113,983000,26.160000,91.770000
Rangpur,830425243.363560,285564,25.750000,89.280000
Rawalpindi,830422630.196171,1858000,33.600000,73.040000
Chiniot,830405184.685793,201781,31.720000,72.980000
Dispur,830402028.691908,16140,26.144000,91.766600
Abbottabad,830284755.490004,1183647,34.149500,73.199500
Linfen,830260115.259413,834000,36.080300,111.520000
Patna,830199576.945467,2158000,25.625000,85.130000
Zunyi,830135142.149235,849000,27.700000,106.920000
Hotan,830129389.276503,261730,37.099700,79.926900
Mansehra,830117785.022931,66486,34.341800,73.196800
Pingdingshan,830066698.047605,849000,33.730400,113.300000
Sargodha,829962982.912046,542603,32.085400,72.675000
Sahiwal,829846091.554637,235695,30.671700,73.111800
Fatehpur,829748684.715669,166480,25.880400,80.800000
Wuwei,829710227.010681,493092,37.928000,102.641000
Lijiang,829462636.414958,18445,26.800000,100.266600
Jincheng,829425530.208809,760000,35.500400,112.830000
Gilgit,829381066.302461,216760,35.917100,74.300000
Bhagalpur,829296453.398495,361548,25.230000,86.980000
Shashi,829291895.864171,520000,30.320000,112.230000
Jiaozuo,829103823.008311,857000,35.250000,113.220000
Gwalior,829042386.469673,978000,26.230000,78.180100
